id,URL,Duration (sec),input_token,output_token,execution_time_sec
188,https://www.youtube.com/watch?v=-yiwunSIu6U,1114,35803,18270,79.71
191,https://www.youtube.com/watch?v=n3rZpVifVRY,2043,65572,26124,122.28
193,https://www.youtube.com/watch?v=aMNQn_fMxJo,1069,34343,11222,62.26
195,https://www.youtube.com/watch?v=NdtBfQsUXnE,2792,89492,20581,348.41
199,https://www.youtube.com/watch?v=6caDbBVzABc,2364,75838,65526,251.56
200,https://www.youtube.com/watch?v=v-M2VQC4LD0,1013,32565,14247,119.32
201,https://www.youtube.com/watch?v=b56icW56OTI,1460,46890,65526,249.65
202,https://www.youtube.com/watch?v=ZQrhTqAuD1A,2437,78164,65526,354.08
209,https://www.youtube.com/watch?v=BupRBbeYZBQ,590,19036,4067,26.11
210,https://www.youtube.com/watch?v=6zowVuPYrRc,584,18830,5466,30.83
213,https://www.youtube.com/watch?v=GSEHU-FfvkY,1743,55960,65524,255.73
215,https://www.youtube.com/watch?v=tGQ6Qs1c6r8,1007,32373,11619,55.87
220,https://www.youtube.com/watch?v=gdyJTCClqKI,1125,36155,65526,243.39
221,https://www.youtube.com/watch?v=Nco9TyMSuqw,1934,62092,51174,437.69
223,https://www.youtube.com/watch?v=AkAYUozYdUA,2462,78938,65526,496.53
226,https://www.youtube.com/watch?v=pVPbmXtj99s,894,28745,4767,33.5
228,https://www.youtube.com/watch?v=hOrK7F5-8u8,930,29902,11665,101.26
229,https://www.youtube.com/watch?v=85AZdr8_I6w,1715,55071,14949,331.51
230,https://www.youtube.com/watch?v=RKWdACh7lZY,2019,64829,19965,172.37
231,https://www.youtube.com/watch?v=7aXiqE5cTBY,1068,34325,22458,97.8
232,https://www.youtube.com/watch?v=G089IHMSmGw,594,19150,3855,25.99
233,https://www.youtube.com/watch?v=8i6bMVXBsv4,1572,50486,16199,116.84
237,https://www.youtube.com/watch?v=10iHzl_ncw4,1015,32617,11841,62.59
239,https://www.youtube.com/watch?v=AsNdYX6l8Kc,2149,68970,20800,130.11
244,https://www.youtube.com/watch?v=syGYhPEEmH8,2672,85639,65526,521.99
247,https://www.youtube.com/watch?v=6FEGzlvd8Zk,1241,39868,65526,341.74
249,https://www.youtube.com/watch?v=S1iLTmsqlE4,1796,57665,19474,171.23
250,https://www.youtube.com/watch?v=RE3i4Clwyis,2457,78806,36486,407.41
251,https://www.youtube.com/watch?v=1dj2U3qKf3o,1158,37195,8613,86.72
253,https://www.youtube.com/watch?v=tlhowxxTOLA,1641,52688,65526,483.12
258,https://www.youtube.com/watch?v=y2vcxFpSraM,2230,71542,65525,264.65
259,https://www.youtube.com/watch?v=L_pJEEinFHU,979,31478,65526,247.93
261,https://www.youtube.com/watch?v=wZCcA_W5AG0,1488,47805,26394,117.75
271,https://www.youtube.com/watch?v=DEuoTqjtbx0,1755,56340,16142,145.89
276,https://www.youtube.com/watch?v=jwuPDJkfE28,177,5823,1907,13.6
278,https://www.youtube.com/watch?v=ZJNbJRjRxig,855,27495,8402,80.36
286,https://www.youtube.com/watch?v=-RkTb2cOLow,1608,51651,65526,257.47
289,https://www.youtube.com/watch?v=kEzXRSTCAv0,584,18846,4316,43.52
